Sample_ID,Latitude,Group,Biopolymer_DON,Humic_DON
K0001,17.46,SML2022,36,23
K0002,17.46,SSW2022,3,7
K0017,16.44,SML2022,13,3
K0018,16.44,SSW2022,5,1
K0019,17.35,SML2022,37,67
K0020,17.35,SSW2022,68,12
K0021,18.19,SML2022,64,22
K0022,18.19,SSW2022,18,3
K0023,20.22,SML2022,49,21
K0024,20.22,SSW2022,14,2
K0025,22.55,SML2022,19,5
K0026,22.55,SSW2022,18,3
K0027,26.02,SML2022,27,15
K0028,26.02,SSW2022,4,1
K0029,29.1,SML2022,24,11
K0030,29.1,SSW2022,20,5
K0031,34.31,SML2022,11,2
K0047,37.45,SML2022,27,1
K0048,37.45,SSW2022,5,1
K0049,41.15,SML2022,19,2
K0050,41.15,SSW2022,27,5
K0051,40.05,SML2022,1,1
K0052,40.05,SSW2022,11,4
K0053,47.17,SML2022,1,1
K0054,47.17,SSW2022,7,3
K0055,49.19,SML2022,9,2
K0056,49.19,SSW2022,3,1
K0058,52.15,SML2022,40,8
K0059,52.15,SSW2022,9,9
K0057,51.46,SML2022,27,15
CV_A_89,17.35,SML2023,37,15
CV_A_96,17.35,SSW2023,12,2
CV_A_101,18.51,SML2023,28,6
CV_A_108,18.51,SSW2023,31,17
CV_A_097,21.15,SML2023,54,14
CV_A_106,21.15,SSW2023,1,3
CV_A_103,23.28,SML2023,8,3
CV_A_102,23.28,SML2023,19,2
CV_A_111,23.28,SSW2023,5,1
CV_A_114,23.28,SSW2023,5,1
CV_A_78,26.55,SML2023,19,6
CV_A_074,26.55,SSW2023,60,14
CV_A_050,29.09,SSW2023,2,8
CV_A_040,29.09,SML2023,1,7
CV_A_62,29.09,SML2023,18,1
CV_A_63,29.09,SSW2023,9,2
CV_A_056,32.53,SML2023,10,3
CV_A_088,32.53,SSW2023,7,1
CV_A_047,40.15,SML2023,6,1
CV_A_031,40.15,SSW2023,29,145
CV_A_042,42.44,SML2023,31,7
CV_A_037,42.44,SSW2023,26,4
CV_A_027,45.45,SML2023,47,19
CV_A_093,45.45,SSW2023,11,1
CV_A_054,47.47,SML2023,24,9
CV_A_49,47.47,SML2023,22,6
CV_A_112,47.47,SSW2023,22,5
CV_A_76,47.47,SSW2023,35,11
