Sample,Year,Kw,Latitude
K0001,2022,16.43,17.46
K0017,2022,21.97,16.44
K0019,2022,11.17,17.35
K0021,2022,14.74,18.19
K0023,2022,19.7,20. 22
K0025,2022,14.22,22.55
K0027,2022,17.01,26.02
K0029,2022,14.8,29.1
K0031,2022,18.83,34.31
K0047,2022,10.65,37.45
K0049,2022,18.24,41.15
K0051,2022,19.38,40.05
K0053,2022,9.94,47.17
K0055,2022,10.07,49.19
K0058,2022,42.22,51.46
K0057,2022,17.76,52.15
CV_A_89,2023,5.53,17.35
CV_A_101,2023,11.66,18.51
CV_A_097,2023,11.89,21.15
CV_A_103,2023,11.14,23.28
CV_A_102,2023,12.79,23.28
CV_A_78,2023,12.99,26.55
CV_A_040,2023,8.67,29.09
CV_A_62,2023,11.17,29.09
CV_A_056,2023,8.87,32.53
CV_A_047,2023,4.94,40.15
CV_A_042,2023,8.61,42.44
CV_A_027,2023,8.77,45.45
CV_A_054,2023,11.27,47.47
CV_A_49,2023,8.32,47.47
NADR,2014,15.2,47.18
NAST E 1,2014,19,43.17
NAST E 2,2014,19.3,40.84
NAST E 3,2014,8.2,33.35
NAST E 4,2014,19.1,29.89
NATR,2014,25.2,12.84
