Sample,DOC,SA,Year,Outlier
K0001,1578,0.429,2022,NO
K0017,181,0.6,2022,NO
K0019,2549,0.267,2022,NO
K0021,1870,0.377,2022,NO
K0023,1129,0.53,2022,NO
K0025,834,0.361,2022,NO
K0027,634,0.447,2022,NO
K0029,1081,0.379,2022,NO
K0031,314,0.503,2022,NO
K0047,1209,0.251,2022,NO
K0049,1092,0.485,2022,NO
K0051,578,0.52,2022,NO
K0053,101,0.229,2022,NO
K0055,224,0.233,2022,NO
K0058,1492,1.224,2022,YES
K0057,886,0.47,2022,NO
CV_A_89,1364,0.093,2023,NO
CV_A_101,919,0.282,2023,NO
CV_A_097,1675,0.289,2023,NO
CV_A_103,276,0.266,2023,NO
CV_A_102,811,0.317,2023,NO
CV_A_78,1103,0.323,2023,NO
CV_A_040,1153,0.19,2023,NO
CV_A_62,973,0.267,2023,NO
CV_A_056,351,0.196,2023,NO
CV_A_047,290,0.075,2023,NO
CV_A_042,1038,0.188,2023,NO
CV_A_027,1149,0.193,2023,NO
CV_A_054,1547,0.27,2023,NO
CV_A_49,1546,0.179,2023,NO
