Sample_ID,SA,DOC,Year,Outlier
CV_A_96,0.179,670,2023,NO
CV_A_108,0.197,1274,2023,NO
CV_A_106,0.179,195,2023,NO
CV_A_111,0.153,291,2023,NO
CV_A_114,0.185,300,2023,NO
CV_A_074,0.177,1240,2023,NO
CV_A_050,0.126,1049,2023,NO
CV_A_63,0.077,351,2023,NO
CV_A_088,0.113,278,2023,NO
CV_A_031,0.061,1290,2023,NO
CV_A_037,0.126,1049,2023,NO
CV_A_093,0.099,951,2023,NO
CV_A_112,0.116,1835,2023,NO
CV_A_76,0.186,984,2023,NO
K0002,0.478,11386,2022,YES
K0018,0.128,181,2022,NO
K0020,0.224,1211,2022,NO
K0022,0.197,949,2022,NO
K0024,0.225,540,2022,NO
K0026,0.093,843,2022,NO
K0028,0.145,153,2022,NO
K0030,0.116,930,2022,NO
K0048,0.059,228,2022,NO
K0050,0.047,1035,2022,NO
K0052,0.093,184,2022,NO
K0054,0.084,165,2022,NO
K0056,0.091,246,2022,NO
K0059,0.169,969,2022,NO
